,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
679168,AU,Australia,Victoria,City of Brimbank,,,,ChIJUXXCOAhf1moRI9x3_C8aCw4,2022-09-11,-2.0,7.0,-15.0,-36.0,-18.0,3.0
679169,AU,Australia,Victoria,City of Brimbank,,,,ChIJUXXCOAhf1moRI9x3_C8aCw4,2022-09-12,-6.0,7.0,-13.0,-34.0,-13.0,4.0
679170,AU,Australia,Victoria,City of Brimbank,,,,ChIJUXXCOAhf1moRI9x3_C8aCw4,2022-09-13,-10.0,1.0,-21.0,-29.0,-15.0,4.0
680106,AU,Australia,Victoria,City of Casey,,,,ChIJKYI2f6Ua1moRlVT3DWNjfrI,2022-09-07,-3.0,21.0,-22.0,7.0,-1.0,3.0
680107,AU,Australia,Victoria,City of Casey,,,,ChIJKYI2f6Ua1moRlVT3DWNjfrI,2022-09-08,-5.0,19.0,-34.0,5.0,0.0,3.0
680108,AU,Australia,Victoria,City of Casey,,,,ChIJKYI2f6Ua1moRlVT3DWNjfrI,2022-09-09,6.0,23.0,-8.0,6.0,2.0,3.0
680109,AU,Australia,Victoria,City of Casey,,,,ChIJKYI2f6Ua1moRlVT3DWNjfrI,2022-09-10,6.0,21.0,-36.0,-6.0,2.0,2.0
680110,AU,Australia,Victoria,City of Casey,,,,ChIJKYI2f6Ua1moRlVT3DWNjfrI,2022-09-11,5.0,26.0,-31.0,-14.0,-5.0,2.0
680111,AU,Australia,Victoria,City of Casey,,,,ChIJKYI2f6Ua1moRlVT3DWNjfrI,2022-09-12,-4.0,19.0,-29.0,-1.0,3.0,4.0
680112,AU,Australia,Victoria,City of Casey,,,,ChIJKYI2f6Ua1moRlVT3DWNjfrI,2022-09-13,-5.0,14.0,-39.0,0.0,1.0,3.0
681048,AU,Australia,Victoria,City of Darebin,,,,ChIJMbljvrRF1moRa1G6KbyRnl0,2022-09-07,-16.0,-11.0,-20.0,-33.0,-25.0,7.0
681049,AU,Australia,Victoria,City of Darebin,,,,ChIJMbljvrRF1moRa1G6KbyRnl0,2022-09-08,-20.0,-17.0,-32.0,-41.0,-22.0,9.0
681050,AU,Australia,Victoria,City of Darebin,,,,ChIJMbljvrRF1moRa1G6KbyRnl0,2022-09-09,-9.0,-7.0,-2.0,-33.0,-24.0,7.0
681051,AU,Australia,Victoria,City of Darebin,,,,ChIJMbljvrRF1moRa1G6KbyRnl0,2022-09-10,-11.0,-14.0,-36.0,-23.0,-15.0,5.0
681052,AU,Australia,Victoria,City of Darebin,,,,ChIJMbljvrRF1moRa1G6KbyRnl0,2022-09-11,-10.0,-1.0,-23.0,-38.0,-18.0,4.0
681053,AU,Australia,Victoria,City of Darebin,,,,ChIJMbljvrRF1moRa1G6KbyRnl0,2022-09-12,-21.0,-10.0,-29.0,-39.0,-24.0,9.0
681054,AU,Australia,Victoria,City of Darebin,,,,ChIJMbljvrRF1moRa1G6KbyRnl0,2022-09-13,-21.0,-13.0,-37.0,-37.0,-24.0,8.0
